"","satfin","income16","new_income_range"
"426","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"427","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"428","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"429","Not satisfied at all","$20000 TO 22499","20 000 to 39 999"
"430","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"431","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"432","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"433","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"434","Not satisfied at all","$35000 TO 39999","20 000 to 39 999"
"435","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"436","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"437","More or less satisfied","$17500 TO 19999","10 000 to 19 999"
"438","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"439","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"440","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"441","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"442","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"443","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"444","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"445","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"446","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"447","Not satisfied at all","$22500 TO 24999","20 000 to 39 999"
"448","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"449","Not satisfied at all","$150000 TO $169999","90 000 to 170 000"
"450","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"451","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"452","More or less satisfied","$17500 TO 19999","10 000 to 19 999"
"453","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"454","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"455","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"456","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"457","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"458","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"459","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"460","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"461","More or less satisfied","$7 000 TO 7 999","0 to 9 999"
"462","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"463","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"464","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"465","Not satisfied at all","$1 000 TO 2 999","0 to 9 999"
"466","Not satisfied at all","$15000 TO 17499","10 000 to 19 999"
"467","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"468","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"469","More or less satisfied","$8 000 TO 9 999","0 to 9 999"
"470","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"471","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"472","Not satisfied at all","UNDER $1 000","0 to 9 999"
"473","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"474","Not satisfied at all","$12500 TO 14999","10 000 to 19 999"
"475","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"476","Not satisfied at all","$22500 TO 24999","20 000 to 39 999"
"477","More or less satisfied","$3 000 TO 3 999","0 to 9 999"
"478","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"479","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"480","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"481","Pretty well satisfied","$6 000 TO 6 999","0 to 9 999"
"482","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"483","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"484","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"485","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"486","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"487","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"488","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"489","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"490","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"491","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"492","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"493","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"494","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"495","Pretty well satisfied","$1 000 TO 2 999","0 to 9 999"
"496","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"497","Not satisfied at all","$12500 TO 14999","10 000 to 19 999"
"498","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"499","More or less satisfied","$15000 TO 17499","10 000 to 19 999"
"500","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"501","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"502","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"503","More or less satisfied","$15000 TO 17499","10 000 to 19 999"
"504","Not satisfied at all","$35000 TO 39999","20 000 to 39 999"
"505","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"506","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"507","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"508","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"509","More or less satisfied","$15000 TO 17499","10 000 to 19 999"
"510","Not satisfied at all","$15000 TO 17499","10 000 to 19 999"
"511","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"512","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"513","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"514","More or less satisfied","$17500 TO 19999","10 000 to 19 999"
"515","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"516","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"517","Not satisfied at all","$20000 TO 22499","20 000 to 39 999"
"518","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"519","More or less satisfied","$12500 TO 14999","10 000 to 19 999"
"520","More or less satisfied","$20000 TO 22499","20 000 to 39 999"
"521","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"522","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"523","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"524","Not satisfied at all","$35000 TO 39999","20 000 to 39 999"
"525","Pretty well satisfied","$35000 TO 39999","20 000 to 39 999"
"526","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"527","Not satisfied at all","$75000 TO $89999","40 000 to 89 999"
"528","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"529","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"530","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"531","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"532","More or less satisfied","$12500 TO 14999","10 000 to 19 999"
"533","Pretty well satisfied","$35000 TO 39999","20 000 to 39 999"
"534","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"535","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"536","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"537","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"538","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"539","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"540","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"541","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"542","More or less satisfied","$20000 TO 22499","20 000 to 39 999"
"543","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"544","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"545","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"546","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"547","Pretty well satisfied","$35000 TO 39999","20 000 to 39 999"
"548","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"549","More or less satisfied","$12500 TO 14999","10 000 to 19 999"
"550","Not satisfied at all","$15000 TO 17499","10 000 to 19 999"
"551","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"552","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"553","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"554","Not satisfied at all","$15000 TO 17499","10 000 to 19 999"
"555","Not satisfied at all","$90000 TO $109999","90 000 to 170 000"
"556","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"557","More or less satisfied","$12500 TO 14999","10 000 to 19 999"
"558","Not satisfied at all","$15000 TO 17499","10 000 to 19 999"
"559","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"560","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"561","Not satisfied at all","$15000 TO 17499","10 000 to 19 999"
"562","Not satisfied at all","$22500 TO 24999","20 000 to 39 999"
"563","Not satisfied at all","$75000 TO $89999","40 000 to 89 999"
"564","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"565","Not satisfied at all","$35000 TO 39999","20 000 to 39 999"
"566","More or less satisfied","$6 000 TO 6 999","0 to 9 999"
"567","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"568","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"569","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"570","More or less satisfied","UNDER $1 000","0 to 9 999"
"571","Pretty well satisfied","$20000 TO 22499","20 000 to 39 999"
"572","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"573","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"574","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"575","Not satisfied at all","UNDER $1 000","0 to 9 999"
"576","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"577","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"578","More or less satisfied","$22500 TO 24999","20 000 to 39 999"
"579","Pretty well satisfied","$7 000 TO 7 999","0 to 9 999"
"580","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"581","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"582","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"583","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"584","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"585","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"586","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"587","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"588","More or less satisfied","$17500 TO 19999","10 000 to 19 999"
"589","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"590","Not satisfied at all","$17500 TO 19999","10 000 to 19 999"
"591","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"592","Not satisfied at all","$170000 OR OVER","90 000 to 170 000"
"593","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"594","More or less satisfied","$20000 TO 22499","20 000 to 39 999"
"595","More or less satisfied","$12500 TO 14999","10 000 to 19 999"
"596","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"597","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"598","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"599","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"600","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"601","More or less satisfied","$12500 TO 14999","10 000 to 19 999"
"602","More or less satisfied","$22500 TO 24999","20 000 to 39 999"
"603","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"604","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"605","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"606","Not satisfied at all","$90000 TO $109999","90 000 to 170 000"
"607","More or less satisfied","$12500 TO 14999","10 000 to 19 999"
"608","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"609","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"610","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"611","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"612","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"613","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"614","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"615","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"616","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"617","Not satisfied at all","$30000 TO 34999","20 000 to 39 999"
"618","Not satisfied at all","$22500 TO 24999","20 000 to 39 999"
"619","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"620","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"621","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"622","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"623","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"624","Pretty well satisfied","$35000 TO 39999","20 000 to 39 999"
"625","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"626","Pretty well satisfied","$30000 TO 34999","20 000 to 39 999"
"627","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"628","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"629","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"630","Not satisfied at all","$12500 TO 14999","10 000 to 19 999"
"631","Not satisfied at all","$17500 TO 19999","10 000 to 19 999"
"632","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"633","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"634","Not satisfied at all","$22500 TO 24999","20 000 to 39 999"
"635","Not satisfied at all","$15000 TO 17499","10 000 to 19 999"
"636","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"637","More or less satisfied","$7 000 TO 7 999","0 to 9 999"
"638","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"639","Not satisfied at all","$3 000 TO 3 999","0 to 9 999"
"640","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"641","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"642","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"643","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"644","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"645","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"646","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"647","Pretty well satisfied","$35000 TO 39999","20 000 to 39 999"
"648","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"649","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"650","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"651","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"652","Pretty well satisfied","$35000 TO 39999","20 000 to 39 999"
"653","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"654","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"655","More or less satisfied","$15000 TO 17499","10 000 to 19 999"
"656","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"657","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"658","Not satisfied at all","$7 000 TO 7 999","0 to 9 999"
"659","Not satisfied at all","$12500 TO 14999","10 000 to 19 999"
"660","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"661","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"662","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"663","More or less satisfied","$20000 TO 22499","20 000 to 39 999"
"664","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"665","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
